, GRANTS AWARD SUMMARY ,Council District, Program Funding , Awarded ,Award Date,Paid,Paid Date, Unpaid ,, Project Completion Notes 
,,,,,,,,,,
, Grants Funds Contributed Since Inception - UPDATE QUARTERLY DISBURSEMENTS (Mar-Jun-Sep-Dec) ,," $ 230,386.00 ",,,,,,,
, Account Interest (Frost) Final Interest paid July 2024 ,," $ 1,512.00 ",,,,,,,
, Account Interest - UPDATE MONTHLY (currently up-to-date including August 2025) ,, $ 309.18 ,,,,,,,
, Hern/Barbour Donation to Grants Program - JUN 23 ,," $ 7,500.00 ",,,,,,,
, Hern/Barbour Donation to Grants Program - JAN 24 ,," $ 7,500.00 ",,,,,,,
, Capital Campaign Allotment - JAN 26 ,," $ 30,000.00 ",,,,,,,
,,,,,,,,,,
1, Six Square (Symposium on Historic Black Cemeteries) ,1 & 3,," $ 3,500.00 ",Sep-16," $ 3,500.00 ",Mar-17, $ -   ,,
2, Austin Theatre Alliance / Paramount Theatre (Marquee Restoration) ,9,," $ 5,000.00 ",Jan-17," $ 5,000.00 ",Sep-17, $ -   ,,
3, Norwood Park Foundation (Historic Landscape Plan) (Paid Dec 2017) ,9,," $ 5,000.00 ",Jan-17," $ 5,000.00 ",Dec-17, $ -   ,,
4, Watershed Productions (Living Springs Ongoing Documentary)(Paid Nov 2017) ,8,," $ 5,000.00 ",Jun-17," $ 5,000.00 ",Nov-17, $ -   ,,
6, Terrace Park / Smoot Subdivision (Local Historic District Survey) (Paid Dec 2017) ,9,," $ 2,500.00 ",Sep-17," $ 2,500.00 ",Dec-17, $ -   ,,
5, Travis Heights - Fairview Park Nat'l Register Historic District Survey ,9,," $ 5,000.00 ",Sep-17," $ 5,000.00 ",Mar-18, $ -   ,,
7, Friends of Mayfield Park (Stone Path) ,10,," $ 3,869.00 ",Jan-18," $ 3,869.00 ",Apr-18, $ -   ,,
8, Austin Theatre Alliance / Paramount Theatre (Roof Parapet) ,9,," $ 4,500.00 ",Jan-18," $ 4,500.00 ",Jun-19, $ -   ,,
9, Holy Cross Neighborhood Assoc. (Local Historic District Work) ,1,, $ 597.00 ,Mar-18, $ 597.00 ,Apr-18, $ -   ,,
10, Hyde Park Neighborhood Assoc. (Street Sign Toppers) ,9,," $ 1,250.20 ",Mar-18," $ 1,250.20 ",Apr-18, $ -   ,,
11, Boggy Creek Farm (Windows) ,3,," $ 5,000.00 ",Jun-18," $ 5,000.00 ",Oct-19, $ -   ,,
12, Millett Opera House / Austin Club (Windows/Painting)  ,9,," $ 5,000.00 ",Jun-18," $ 5,000.00 ",Sep-19, $ -   ,,
13, Waterloo Greenway Conservancy (Hardeman House Entry Door) ,9,," $ 5,000.00 ",Jan-19," $ 5,000.00 ",Apr-20, $ -   ,,
14, Holy Cross Neighborhood Association (LHD City of Austin Fees) ,1,, $ 771.00 ,Jan-19, $ 771.00 ,Jul-20, $ -   ,,
15, Old Austin Neighborhood Assoc. (Local Historic District Survey) ,9,," $ 5,000.00 ",Apr-19," $ 5,000.00 ",Dec-20, $ -   ,,
16, Interfaith Action of Central Texas (Oakwood Cemetery East Austin Church Exhibit) ,1,," $ 4,000.00 ",Jul-19," $ 4,000.00 ",Apr-20, $ -   ,,
17, The Contemporary Austin @ Laguna Gloria  ,10,," $ 5,000.00 ",Oct-19," $ 5,000.00 ",Jun-21, $ -   ,,
18, Millett Opera House / Austin Club (Masonry)  ,9,," $ 5,000.00 ",Dec-19," $ 5,000.00 ",Apr-22, $ -   ,,
19, Boggy Creek Farm (Siding) ,3,," $ 5,000.00 ",Jan-20," $ 5,000.00 ",Apr-20, $ -   ,,
20, Austin Theatre Alliance / Paramount Theatre (Masonry Repair) ,9,," $ 5,000.00 ",Mar-20," $ 5,000.00 ",Mar-22, $ -   ,,
21, Thomas Schiefer (Clarksville - Mary Baylor House - City Historic Designation Application Fees) ,9,," $ 1,082.12 ",Mar-20," $ 1,082.12 ",Apr-20, $ -   ,,
22, Millett Opera House / Austin Club (Education/Publication)  ,9,," $ 1,198.96 ",Mar-20," $ 1,198.96 ",Apr-20, $ -   ,,
23, Holy Cross Neighborhood Association (Add'l City of Austin Fees) ,1,, $ 289.00 ,Jun-20, $ 289.00 ,Jul-20, $ -   ,,
24, Rogers House - 1104 E. 10th (Repairs to historic home) ,1,," $ 5,000.00 ",Jun-20," $ 5,000.00 ",Dec-21, $ -   ,,
25, Boggy Creek Farm (Carol Ann Sayle)(3414 Lyons Rd)(Roof Repairs) ,3,," $ 5,000.00 ",Jun-20," $ 5,000.00 ",Oct-20, $ -   ,,
--, Marta Stefaniuk (Watson House (1853)(1601 Navasota)(History / Documentation) ,--,," $ 1,500.00 ",Jun-20,,,,," Jan. 2023 -- Marta completed the project but declined the $1,000 grant reimbursement. "
26, El Camino Real Association ,N/A,," $ 5,000.00 ",Oct-20," $ 5,000.00 ",Apr-21, $ -   ,,
27, Waterloo Greenway Conservancy (Park Wayfinding) ,9,," $ 5,000.00 ",Jan-21," $ 5,000.00 ",Nov-21, $ -   ,,
28, Austin History Center (810 Guadalupe) (Historical Performance / Education) ,9,," $ 3,000.00 ",Jan-21," $ 3,000.00 ",Apr-21, $ -   ,,
29, Huston-Tillotson University (900 Chicon)(Seabrook Chapel Restoration) ,1,," $ 5,000.00 ",Apr-21," $ 5,000.00 ",Jul-21, $ -   ,,
30, Hillside Farmacy (1209 E 11th St.)(Painting) ,1,," $ 3,365.00 ",Apr-21," $ 3,365.00 ",Mar-22, $ -   ,,
31, Patricia Calhoun (2401 Givens Ave.)(Siding) ,1,," $ 4,000.00 ",Apr-21," $ 4,000.00 ",Jun-21, $ -   ,,
--, Erna Smith & Jeremy Steinberger (East Austin)(Lindsey Sisters Documentary) ,--,," $ 5,000.00 ",Jul-21,,,,," Jan. 2025 -- Erna declined the $5,000 award after many delays in the project, but she'll reapply for funding in the future. "
32, Seymour Fogel House / Southwind (Paisley Robertson)(2411 Kinney Rd)(Bricks & Mortar) ,5,," $ 5,000.00 ",Jun-21," $ 5,000.00 ",Sep-21, $ -   ,,
33, Patricia Calhoun (2401 Givens Ave.)(Windows & Electrical) ,1,," $ 5,000.00 ",Jul-21," $ 5,000.00 ",Jan-23, $ -   ,,
34, Sarah Gamble (Publication on House Relocation)  ,N/A,," $ 5,000.00 ",Sep-21," $ 4,808.08 ",Oct-23, $ -   ,," Oct. 23 -- Sarah Gamble did not end up using the full amount requested, she forfeited $191.92. "
--, Austin History Center Association (Replacing Damaged Dedication Sign) ,9,," $ 1,500.00 ",Jan-22,,,,," Apr. 2022 -- The AHCA declined the $1,500 grant because the City covered the costs in the end. "
35, Cisco's Restaurant (Will Bridges)(1511 E 6th St.)(Electrical/Plumbing Repairs) ,3,," $ 8,500.00 ",Jan-22," $ 8,500.00 ",Feb-22, $ -   ,,
36, Old Austin Neighborhood Assoc. (National Register Historic District Application) ,9,," $ 5,000.00 ",Jan-22," $ 5,000.00 ",Sep-22, $ -   ,,
37, Roberts Clinic (Stanton Strickland/Maverick Shaw)(1174 San Bernard St.)(Restoration Planning) ,1,," $ 5,000.00 ",Jan-22," $ 5,000.00 ",Feb-23, $ -   ,,
38, Luther Hall (Friends of the Texas Historic Commission)(108 W 16th)(Bricks & Mortar)  ,9,," $ 7,500.00 ",Jan-22," $ 7,500.00 ",Dec-22, $ -   ,,
