id,name,address,old_lat,old_lng,new_lat,new_lng,distance_m,source,action
op1,Sam's BBQ,2000 E 12th St,30.277,-97.723,30.27398,-97.71883,523,census,updated
op2,Victory Grill,1104 E 11th St,30.2745,-97.729,30.2691,-97.72878,601,census,updated
op_lib,The Liberty,1618 E 6th St,30.263,-97.724,30.26298,-97.7261,202,census,updated
op_yjsc,Yellow Jacket Social Club,1704 E 5th St,30.2625,-97.7235,30.26147,-97.72483,172,census,updated
op_grack,The Grackle,1700 E 6th St,30.2632,-97.7238,30.2624,-97.72439,105,census,updated
op_hf,Hillside Farmacy,1209 E 11th St,30.274,-97.727,30.26831,-97.72689,633,census,updated
op_fresa1,Fresa's (9th & Lamar),915 N Lamar Blvd,30.275,-97.751,30.27412,-97.75262,184,census,updated
op_sawyer,Sawyer & Co,4827 E Cesar Chavez,30.257,-97.708,30.25166,-97.70214,818,census,updated
op_laun,Launderette,2115 Holly St,30.254,-97.72,30.25248,-97.72349,375,census,updated
op_jun,Juniper,2400 E Cesar Chavez,30.2585,-97.712,30.25474,-97.71761,682,census,updated
op_suer,Suerte,1800 E 6th St,30.2635,-97.7225,30.26208,-97.72346,183,census,updated
op_pb,Paperboy (B&M),1203 E 11th St,30.2735,-97.7272,30.26856,-97.72771,551,census,updated
op4,Evan's Barbershop,E 11th St area,30.2755,-97.726,,,,skipped,kept_original
op5,Greater Calvary Baptist Church,1201 E 11th St,30.2738,-97.7275,30.26861,-97.72782,578,census,updated
op6,Downs Field,Rosewood Ave & E 12th,30.279,-97.7195,,,,census,reviewed
op7,Joe's Bakery,2305 E 7th St,30.265,-97.7218,30.26127,-97.71635,668,census,updated
op8,Cisco's Restaurant Bakery & Bar,1511 E 6th St,30.266,-97.73,30.26328,-97.72741,392,census,updated
op9,Licha's Cantina,1306 E 6th St,30.2645,-97.732,30.26406,-97.72939,255,census,updated
op10,El Azteca,2600 E 7th St,30.2658,-97.719,30.26082,-97.71265,824,census,updated
op11,Santa Cruz Catholic Church,1811 E 2nd St,30.261,-97.728,30.25826,-97.7251,413,census,updated
op12,Nixta Taqueria,2512 E 12th St,30.27,-97.706,30.27478,-97.71381,919,census,updated
op13,Pueblo Viejo,2600 E Cesar Chavez,30.257,-97.702,30.25395,-97.71532,1324,census,updated
op14,Rosewood Park / Zaragosa Park,2300 Rosewood Ave,30.289,-97.7045,30.27041,-97.715,2300,census,updated
op15,Mt. Olive Baptist Church,1800 E 11th St area,30.292,-97.703,,,,skipped,kept_original
op16,Huston-Tillotson University,900 Chicon St,30.286,-97.724,30.26508,-97.721,2344,census,updated
op17,Lustre Pearl,97 Rainey St,30.253,-97.739,30.26068,-97.738,859,census,updated
op18,The Broken Spoke,3201 S Lamar Blvd,30.2408,-97.7852,30.24132,-97.78537,60,census,updated
op19,Saxon Pub,1320 S Lamar Blvd,30.252,-97.768,30.25365,-97.76305,510,census,updated
op21,Barton Springs Pool,2201 Barton Springs Rd,30.264,-97.771,30.26597,-97.76764,390,census,updated
op22,Mohawk,912 Red River St,30.271,-97.737,30.26947,-97.73615,189,census,updated
op23,Stubb's BBQ,801 Red River St,30.2695,-97.7365,30.26837,-97.7364,126,census,updated
