id,name,address,old_lat,old_lng,new_lat,new_lng,distance_m,loc_type,google_addr
op1,Sam's BBQ,2000 E 12th St,30.27398,-97.71883,30.27412,-97.7188,15.8,ROOFTOP,"2000 E 12th St, Austin, TX 78702, USA"
op2,Victory Grill,1104 E 11th St,30.2691,-97.72878,30.269244,-97.728558,26.7,ROOFTOP,"1104 E 11th St, Austin, TX 78702, USA"
op_lib,The Liberty,1618 E 6th St,30.26298,-97.7261,30.262861,-97.725046,102.1,ROOFTOP,"1618 E 6th St, Austin, TX 78702, USA"
op_yjsc,Yellow Jacket Social Club,1704 E 5th St,30.26147,-97.72483,30.261742,-97.724761,31.0,ROOFTOP,"1704 E 5th St., Austin, TX 78702, USA"
op_grack,The Grackle,1700 E 6th St,30.2624,-97.72439,30.262673,-97.724167,37.2,ROOFTOP,"1700 E 6th St, Austin, TX 78702, USA"
op_hf,Hillside Farmacy,1209 E 11th St,30.26831,-97.72689,30.268155,-97.726879,17.3,ROOFTOP,"1209 E 11th St, Austin, TX 78702, USA"
op_fresa1,Fresa's (9th & Lamar),915 N Lamar Blvd,30.27412,-97.75262,30.27445,-97.752217,53.3,ROOFTOP,"915 N Lamar Blvd, Austin, TX 78703, USA"
op_sawyer,Sawyer & Co,4827 E Cesar Chavez,30.25166,-97.70214,30.251396,-97.701832,41.7,ROOFTOP,"4827 E Cesar Chavez St, Austin, TX 78702, USA"
op_laun,Launderette,2115 Holly St,30.25248,-97.72349,30.251906,-97.72277,94.1,ROOFTOP,"2115 Holly St, Austin, TX 78702, USA"
op_jun,Juniper,2400 E Cesar Chavez,30.25474,-97.71761,30.254967,-97.717739,28.1,GEOMETRIC_CENTER,"2400 E Cesar Chavez St, Austin, TX 78702, USA"
op_suer,Suerte,1800 E 6th St,30.26208,-97.72346,30.262241,-97.723249,27.0,ROOFTOP,"1800 E 6th St, Austin, TX 78702, USA"
op_pb,Paperboy (B&M),1203 E 11th St,30.26856,-97.72771,30.268404,-97.727608,19.9,ROOFTOP,"1203 E 11th St, Austin, TX 78702, USA"
op4,Evan's Barbershop,E 11th St area,30.2755,-97.726,,,,skipped,
op5,Greater Calvary Baptist Church,1201 E 11th St,30.26861,-97.72782,30.268428,-97.727663,25.2,ROOFTOP,"1201 E 11th St, Austin, TX 78702, USA"
op6,Downs Field,Rosewood Ave & E 12th,30.279,-97.7195,30.275065,-97.711743,863.9,GEOMETRIC_CENTER,"E 12th St, Austin, TX, USA"
op7,Joe's Bakery,2305 E 7th St,30.26127,-97.71635,30.261098,-97.7167,38.7,ROOFTOP,"2305 E 7th St, Austin, TX 78702, USA"
op8,Cisco's Restaurant Bakery & Bar,1511 E 6th St,30.26328,-97.72741,30.262876,-97.726797,74.1,ROOFTOP,"1511 E 6th St, Austin, TX 78702, USA"
op9,Licha's Cantina,1306 E 6th St,30.26406,-97.72939,30.264119,-97.728845,52.8,ROOFTOP,"1306 E 6th St, Austin, TX 78702, USA"
op10,El Azteca,2600 E 7th St,30.26082,-97.71265,30.260996,-97.712484,25.2,ROOFTOP,"2600 E 7th St, Austin, TX 78702, USA"
op11,Santa Cruz Catholic Church,1811 E 2nd St,30.25826,-97.7251,30.258016,-97.724997,28.9,RANGE_INTERPOLATED,"1811 E 2nd St, Austin, TX 78702, USA"
op12,Nixta Taqueria,2512 E 12th St,30.27478,-97.71381,30.275006,-97.713245,59.8,ROOFTOP,"2512 E 12th St, Austin, TX 78702, USA"
op13,Pueblo Viejo,2600 E Cesar Chavez,30.25395,-97.71532,30.254059,-97.715151,20.3,ROOFTOP,"2600 E Cesar Chavez St, Austin, TX 78702, USA"
op14,Rosewood Park / Zaragosa Park,2300 Rosewood Ave,30.27041,-97.715,30.271036,-97.714897,70.3,ROOFTOP,"2300 Rosewood Ave, Austin, TX 78702, USA"
op15,Mt. Olive Baptist Church,1800 E 11th St area,30.292,-97.703,,,,skipped,
op16,Huston-Tillotson University,900 Chicon St,30.26508,-97.721,30.264551,-97.722321,139.8,GEOMETRIC_CENTER,"900 Chicon St, Austin, TX 78702, USA"
op17,Lustre Pearl,97 Rainey St,30.26068,-97.738,30.260645,-97.737639,34.9,ROOFTOP,"97 Rainey St, Austin, TX 78701, USA"
op18,The Broken Spoke,3201 S Lamar Blvd,30.24132,-97.78537,30.240953,-97.785134,46.7,ROOFTOP,"3201 S Lamar Blvd, Austin, TX 78704, USA"
op19,Saxon Pub,1320 S Lamar Blvd,30.25365,-97.76305,30.253542,-97.763576,51.9,ROOFTOP,"1320 S Lamar Blvd, Austin, TX 78704, USA"
op21,Barton Springs Pool,2201 Barton Springs Rd,30.26597,-97.76764,30.263975,-97.771383,422.4,GEOMETRIC_CENTER,"2201 Barton Springs Rd, Austin, TX 78746, USA"
op22,Mohawk,912 Red River St,30.26947,-97.73615,30.270053,-97.736119,64.9,ROOFTOP,"912 Red River St, Austin, TX 78701, USA"
op23,Stubb's BBQ,801 Red River St,30.26837,-97.7364,30.268456,-97.736173,23.8,ROOFTOP,"801 Red River St, Austin, TX 78701, USA"
op24,Cheer Up Charlies,900 Red River St,30.26937,-97.73619,30.269634,-97.736365,33.8,ROOFTOP,"900 Red River St, Austin, TX 78701, USA"
op25,Empire Control Room & Garage,606 E 7th St,30.26742,-97.73668,30.267438,-97.736105,55.3,ROOFTOP,"606 E 7th St, Austin, TX 78701, USA"
op26,Elysium,705 Red River St,30.26747,-97.73672,30.267631,-97.736603,21.1,ROOFTOP,"705 Red River St, Austin, TX 78701, USA"
op27,Epoch Coffee,221 W North Loop Blvd,30.31873,-97.72456,30.318604,-97.72454,14.1,ROOFTOP,"221 W N Loop Blvd, Austin, TX 78751, USA"
op28,Breed & Co.,718 W 29th St,30.29626,-97.74443,30.296692,-97.744594,50.6,ROOFTOP,"718 W 29th St, Austin, TX 78705, USA"
op29,Avenue B Grocery,4403 Avenue B,30.30892,-97.73169,30.309019,-97.731431,27.2,ROOFTOP,"4403 Avenue B, Austin, TX 78751, USA"
op30,Mi Madre's,2201 Manor Rd (relocated),30.2841,-97.7189,30.284101,-97.718924,2.3,ROOFTOP,"2201 Manor Rd, Austin, TX 78722, USA"
op31,Our Lady of Guadalupe Church,1206 E 9th St,30.26685,-97.72825,30.267097,-97.727752,55.2,GEOMETRIC_CENTER,"1206 E 9th St, Austin, TX 78702, USA"
op32,Saigon Le Vendeur,8650 Spicewood Springs area,30.37,-97.743,,,,skipped,
op33,Asia Market,8650 Spicewood Springs area,30.365,-97.741,,,,skipped,
op34,Taqueria Chapala,William Cannon area,30.182,-97.753,,,,skipped,
op35,Dai Due,2406 Manor Rd,30.28469,-97.717,30.284983,-97.716848,35.7,ROOFTOP,"2406 Manor Rd, Austin, TX 78722, USA"
op36,Cherrywood Coffeehouse,1400 E 38th 1/2 St,30.29327,-97.71633,30.293632,-97.716,51.2,ROOFTOP,"1400 E 38th 1/2 St, Austin, TX 78722, USA"
op37,Allen's Boots,1522 S Congress Ave,30.249,-97.7502,30.248128,-97.750455,100.0,ROOFTOP,"1522 S Congress Ave, Austin, TX 78704, USA"
op38,The Continental Club,1315 S Congress Ave,30.2509,-97.74911,30.250506,-97.749042,44.3,ROOFTOP,"1315 S Congress Ave, Austin, TX 78704, USA"
op39,Guero's Taco Bar,1412 S Congress Ave,30.24969,-97.74971,30.249152,-97.750201,76.2,ROOFTOP,"1412 S Congress Ave, Austin, TX 78704, USA"
op40,Home Slice Pizza,1415 S Congress Ave,30.24964,-97.74959,30.249228,-97.749525,46.2,ROOFTOP,"1415 S Congress Ave, Austin, TX 78704, USA"
op41,South Congress Books,1608 S Congress Ave,30.248,-97.75,30.247678,-97.750688,75.2,ROOFTOP,"1608 S Congress Ave, Austin, TX 78704, USA"
cl_con,Contigo,2027 Anchor Ln,30.28879,-97.70418,30.288438,-97.703578,69.8,ROOFTOP,"2027 Anchor Ln, Austin, TX 78723, USA"
cl_wu,Weather Up,East Austin,30.264,-97.725,,,,skipped,
cl_sg,Stay Gold,1910 E Cesar Chavez,30.25713,-97.72444,30.257169,-97.723744,67.0,ROOFTOP,"1910 E Cesar Chavez St, Austin, TX 78702, USA"
cl_rw,Rosewood,1209 Rosewood Ave,30.26849,-97.72621,30.268375,-97.726265,13.8,ROOFTOP,"1209 Rosewood Ave, Austin, TX 78702, USA"
cl_rib,Redbud Ice House,2027 Anchor Ln,30.28879,-97.70418,30.288438,-97.703578,69.8,ROOFTOP,"2027 Anchor Ln, Austin, TX 78723, USA"
cl_otb,Old Thousand (Burnet),Burnet Rd,30.32446,-97.74013,30.358605,-97.730201,3914.5,GEOMETRIC_CENTER,"Burnet Rd, Austin, TX, USA"
cl1,Charlie's Playhouse,1206 E 11th St,30.26857,-97.72743,30.268724,-97.727435,17.1,ROOFTOP,"1206 E 11th St, Austin, TX 78702, USA"
cl2,Erwin Center Barber Shop,E 12th St,30.2718,-97.73236,30.275065,-97.711743,2012.9,GEOMETRIC_CENTER,"E 12th St, Austin, TX, USA"
cl3,Kealing Jr. High area businesses,E 12th St corridor,30.2765,-97.721,30.275065,-97.711743,903.1,GEOMETRIC_CENTER,"E 12th St, Austin, TX, USA"
cl4,Mrs. Johnson's Donuts,E 12th St,30.2718,-97.73236,30.275065,-97.711743,2012.9,GEOMETRIC_CENTER,"E 12th St, Austin, TX, USA"
cl5,Nubian Queen Lola's,E 11th St,30.2706,-97.73344,30.268766,-97.728046,556.7,GEOMETRIC_CENTER,"E 11th St, Austin, TX, USA"
cl6,Gene's Po-Boys,E 11th St,30.2706,-97.73344,30.268766,-97.728046,556.7,GEOMETRIC_CENTER,"E 11th St, Austin, TX, USA"
cl7,El Gallo Restaurant,E Cesar Chavez,30.2559,-97.73171,30.255747,-97.720716,1056.1,GEOMETRIC_CENTER,"E Cesar Chavez St, Austin, TX, USA"
cl8,Tamale House East (original),E 1st St,30.2625,-97.726,30.262161,-97.740124,1357.0,GEOMETRIC_CENTER,"E 1st St, Austin, TX, USA"
cl9,Jumpolin Piñata Store,E Cesar Chavez,30.2559,-97.73171,30.255747,-97.720716,1056.1,GEOMETRIC_CENTER,"E Cesar Chavez St, Austin, TX, USA"
cl10,Las Cazuelas,E Cesar Chavez,30.2559,-97.73171,30.255747,-97.720716,1056.1,GEOMETRIC_CENTER,"E Cesar Chavez St, Austin, TX, USA"
cl11,Rainey Street bungalow businesses,Rainey St,30.25901,-97.7387,30.258426,-97.738909,68.0,GEOMETRIC_CENTER,"Rainey St, Austin, TX 78701, USA"
cl12,Holly Neighborhood Assoc. HQ,Holly St,30.2528,-97.72436,30.253909,-97.727451,321.5,GEOMETRIC_CENTER,"Holly St, Austin, TX 78702, USA"
cl13,Shady Grove Restaurant,1624 Barton Springs Rd,30.26222,-97.76167,30.262813,-97.761997,73.0,ROOFTOP,"1624 Barton Springs Rd, Austin, TX 78704, USA"
cl14,Baby Acapulco's (S Lamar),S Lamar Blvd,30.26541,-97.75675,30.2466,-97.778004,2922.5,GEOMETRIC_CENTER,"S Lamar Blvd, Austin, TX, USA"
cl15,Club 801,Red River St,30.28347,-97.72789,30.285545,-97.72725,238.8,GEOMETRIC_CENTER,"Red River St, Austin, TX, USA"
cl16,Room 710,710 Red River St,30.26755,-97.73683,30.268052,-97.736868,55.9,ROOFTOP,"710 Red River St, Austin, TX 78701, USA"
cl17,Beerland,711 Red River St,30.26752,-97.7367,30.267759,-97.736499,32.8,ROOFTOP,"711 Red River St, Austin, TX 78701, USA"
cl18,Uncommon Objects,1512 S Congress Ave,30.2492,-97.7501,30.24849,-97.750517,88.5,ROOFTOP,"1512 S Congress Ave, Austin, TX 78704, USA"
cl19,Yard Dog Art Gallery,1510 S Congress Ave,30.2488,-97.7501,30.248623,-97.750434,37.6,ROOFTOP,"1510 S Congress Ave, Austin, TX 78704, USA"
cl20,Lucy in Disguise,1506 S Congress Ave,30.2485,-97.7502,30.248699,-97.750286,23.6,ROOFTOP,"1506 S Congress Ave, Austin, TX 78704, USA"
cl21,Fiesta Gardens area tiendas,Fiesta Gardens area,30.256,-97.7,,,,skipped,
cl22,Jovita's,1619 S 1st St,30.24914,-97.75518,30.248312,-97.755294,92.7,ROOFTOP,"1619 S 1st St, Austin, TX 78704, USA"
cl23,Skylark Lounge,2039 Airport Blvd,30.28411,-97.70491,30.284901,-97.704583,93.4,ROOFTOP,"2039 Airport Blvd, Austin, TX 78721, USA"
cl24,Maria's Taco Xpress,2529 S Lamar Blvd,30.24647,-97.77803,30.24574,-97.778261,84.2,GEOMETRIC_CENTER,"2529 S Lamar Blvd, Austin, TX 78704, USA"
cl25,Armadillo World Headquarters,525½ Barton Springs Rd,30.2584,-97.7494,30.259969,-97.754659,534.4,GEOMETRIC_CENTER,"Barton Springs Rd, Austin, TX, USA"
cl26,Liberty Lunch,405 W 2nd St,30.265,-97.748,30.265225,-97.747927,26.0,ROOFTOP,"405 W 2nd St, Austin, TX 78701, USA"
cl27,Las Manitas Avenue Cafe,Congress Avenue,30.26853,-97.74263,30.264324,-97.744216,491.9,GEOMETRIC_CENTER,"Congress Ave., Austin, TX 78701, USA"
cl28,Threadgill's (North / Old No. 1),6416 N Lamar Blvd,30.33185,-97.72267,30.33249,-97.722915,74.9,GEOMETRIC_CENTER,"6416 N Lamar Blvd, Austin, TX 78752, USA"
cl29,Threadgill's World Headquarters,301 W Riverside Dr,30.25835,-97.74822,30.258196,-97.748758,54.4,ROOFTOP,"301 W Riverside Dr, Austin, TX 78704, USA"
cl30,The Frisco (Night Hawk),6801 Burnet Rd,30.3438,-97.73828,30.343801,-97.737981,28.7,ROOFTOP,"6801 Burnet Rd, Austin, TX 78757, USA"
cl31,Hut's Hamburgers,807 W 6th St,30.27037,-97.75095,30.270227,-97.751161,25.8,ROOFTOP,"807 W 6th St, Austin, TX 78703, USA"
cl32,Katz's Deli,618 W 6th St,30.26976,-97.74865,30.270169,-97.749267,74.7,ROOFTOP,"618 W 6th St, Austin, TX 78701, USA"
cl33,Dart Bowl,5700 Grover Ave,30.32775,-97.73119,30.328491,-97.730727,93.6,ROOFTOP,"5700 Grover Ave, Austin, TX 78756, USA"
cl34,Mother's Cafe & Garden,4608 Depew Ave,30.30598,-97.71777,30.306368,-97.717704,43.6,ROOFTOP,"4608 Depew Ave, Austin, TX 78751, USA"
cl35,Magnolia Cafe (Lake Austin),Lake Austin Blvd,30.27959,-97.7743,30.285766,-97.778676,805.1,GEOMETRIC_CENTER,"Lake Austin Blvd, Austin, TX 78703, USA"
cl36,Nau's Enfield Drug,1115 W Lynn St (Clarksville),30.27985,-97.7593,30.279973,-97.759,31.9,ROOFTOP,"1115 W Lynn St, Austin, TX 78703, USA"
cl37,Star Seeds Cafe,I-35 Corridor,30.264,-97.735,30.280399,-97.729136,1908.5,GEOMETRIC_CENTER,"I-35, Austin, TX, USA"
cl38,Player's,MLK/Guadalupe (campus area),30.283,-97.741,,,,skipped,
cl39,Vulcan Video,Various locations,30.24,-97.765,,,,skipped,
