id,name,type,address,old_lat,old_lng,new_lat,new_lng,distance_m,loc_type,action,google_addr
pa-grant-1,Six Square — Symposium on Historic Black Cemeteries,grant,East Austin (Six Square district),30.271,-97.725,,,,vague_address,kept_centroid,
pa-grant-2,Paramount Theatre — Marquee Restoration,grant,713 Congress Ave,30.2672,-97.7431,30.26942,-97.74198,269.3,ROOFTOP,updated,"Paramount Theatre, 713 N Congress Ave, Austin, TX 78701, USA"
pa-grant-3,Norwood Park Foundation — Historic Landscape Plan,grant,1009 E 9th St,30.27,-97.731,30.267414,-97.730533,291.0,ROOFTOP,updated,"1009 E 9th St, Austin, TX 78702, USA"
pa-grant-4,Watershed Productions — Living Springs Documentary,grant,District 8,30.25,-97.79,,,,vague_address,kept_centroid,
pa-grant-5,Travis Heights–Fairview Park — NR Historic District Survey,grant,Travis Heights neighborhood,30.244,-97.745,,,,neighborhood_only,kept_centroid,
pa-grant-6,Terrace Park / Smoot Subdivision — LHD Survey,grant,Terrace Park neighborhood,30.256,-97.748,,,,neighborhood_only,kept_centroid,
pa-grant-7,Friends of Mayfield Park — Stone Path,grant,3505 W 35th St,30.312,-97.77,30.312461,-97.770602,77.2,GEOMETRIC_CENTER,updated,"3505 W 35th St, Austin, TX 78703, USA"
pa-grant-8,Paramount Theatre — Roof Parapet,grant,713 Congress Ave,30.2672,-97.7431,30.26942,-97.74198,269.3,ROOFTOP,updated,"Paramount Theatre, 713 N Congress Ave, Austin, TX 78701, USA"
pa-grant-9,Holy Cross Neighborhood Assoc. — LHD Work,grant,"Holy Cross neighborhood, East Austin",30.26,-97.72,,,,no_street_address,kept_centroid,
pa-grant-10,Hyde Park Neighborhood Assoc. — Street Sign Toppers,grant,Hyde Park neighborhood,30.305,-97.73,,,,neighborhood_only,kept_centroid,
pa-grant-11,Boggy Creek Farm — Windows,grant,3414 Lyons Rd,30.281,-97.714,30.262444,-97.701176,2402.9,ROOFTOP,updated,"3414 Lyons Rd, Austin, TX 78702, USA"
pa-grant-12,Millett Opera House / Austin Club — Windows/Painting,grant,110 E 9th St,30.271,-97.743,30.270899,-97.740868,205.1,ROOFTOP,updated,"110 E 9th St, Austin, TX 78701, USA"
pa-grant-13,Waterloo Greenway — Hardeman House Entry Door,grant,"Waller Creek area, downtown",30.27,-97.738,,,,no_street_address,kept_centroid,
pa-grant-14,Holy Cross Neighborhood Assoc. — LHD City Fees,grant,Holy Cross neighborhood,30.26,-97.72,,,,neighborhood_only,kept_centroid,
pa-grant-15,Old Austin Neighborhood Assoc. — LHD Survey,grant,Old West Austin,30.275,-97.755,,,,no_street_address,kept_centroid,
pa-grant-16,Interfaith Action of Central Texas — Oakwood Cemetery Exhibit,grant,1601 Navasota St,30.274,-97.726,30.276573,-97.727688,328.8,ROOFTOP,updated,"1601 Navasota St, Austin, TX 78702, USA"
