region_id,region_name_original,display_name_current,npa_match,lat,lng,name_changed,google_maps_name
1,"St. Elmo District","Mckinney","MCKINNEY",30.2030,-97.7264,YES,"Mckinney"
2,"North Loop","North Loop","NORTH AUSTIN CIVIC ASSOCIATION",30.3720,-97.7147,,""
3,"Cherrywood","RMMA — Inner South","RMMA",30.2979,-97.7056,YES,"RMMA"
4,"Blackland","Blackland — East","",30.2823,-97.6520,YES,""
5,"Windsor Hills","Windsor Hills — Northwest","",30.3928,-97.6904,YES,""
6,"North Shoal Creek","North Shoal Creek — Northeast","",30.3861,-97.6795,YES,""
7,"Barton Creek","Barton Creek","",30.1955,-97.9026,,""
8,"St. John's","St. John's","",30.3977,-97.6631,,""
9,"Windsor Park","Windsor Park — North","",30.3934,-97.6663,YES,""
10,"Circle C Ranch","Circle C Ranch","",30.1854,-97.8793,,""
11,"Georgian Acres","Georgian Acres — North","",30.3804,-97.6684,YES,""
12,"Springdale","Springdale","",30.2881,-97.6389,,""
13,"Northwood","Gateway — Southeast","GATEWAY",30.3895,-97.7380,YES,"Gateway"
14,"Cherrywood","North Lamar — North","NORTH LAMAR",30.3701,-97.6866,YES,"North Lamar"
15,"Zilker","Bouldin Creek — Northeast","BOULDIN CREEK",30.2497,-97.7588,YES,"Bouldin Creek"
16,"Riverside","Montopolis","MONTOPOLIS",30.2234,-97.6976,YES,"Montopolis"
17,"Dessau","Dessau — Southeast","",30.3876,-97.6274,YES,""
18,"Creedmoor","Creedmoor","",30.1774,-97.5914,,""
19,"North Austin","Windsor Hills — Northeast","WINDSOR HILLS",30.3639,-97.6770,YES,"Windsor Hills"
21,"St. Edward's","Pleasant Valley — Southeast #21","PLEASANT VALLEY",30.2409,-97.7041,YES,"Pleasant Valley"
22,"Milwood","Milwood","",30.4322,-97.8256,,""
23,"Oak Hill","Oak Hill — Northeast","",30.2215,-97.8186,YES,""
24,"Pleasant Valley","Pleasant Valley — East","PLEASANT VALLEY",30.2311,-97.7074,YES,""
25,"Anderson Mill","Anderson Mill","",30.4292,-97.7925,,""
26,"Brentwood","Allandale — North","",30.3806,-97.7525,YES,"Allandale"
27,"The Domain","The Domain — Northwest","",30.3991,-97.7546,YES,""
29,"The Arboretum","The Arboretum — North","",30.4068,-97.7373,YES,""
30,"Walnut Creek","Harris Ridge — East","",30.4654,-97.6828,YES,"Harris Ridge"
31,"Great Hills","Great Hills — Northeast","",30.4338,-97.7507,YES,""
32,"The Arboretum","Balcones Woods — Northeast","",30.4221,-97.7218,YES,"Balcones Woods"
33,"St. Johns","Georgian Acres — Northwest","GEORGIAN ACRES",30.3509,-97.7014,YES,"Georgian Acres"
34,"North Burnet","Gracywoods — North","",30.4369,-97.7137,YES,"Gracywoods"
35,"Tech Ridge","Tech Ridge","",30.4341,-97.6904,,""
36,"Northwood","Balcones Woods — East","",30.4167,-97.7132,YES,"Balcones Woods"
38,"Harris Ridge","Harris Ridge — North","",30.4702,-97.6698,YES,""
39,"North Shoal Creek","Coronado Hills — South","CORONADO HILLS",30.3270,-97.6843,YES,"Coronado Hills"
40,"River Place","River Place","",30.3425,-97.8686,,""
41,"Gracywoods","Gracywoods","",30.4230,-97.6893,,""
42,"North Shoal Creek","North Burnet — Outer North","",30.4128,-97.7012,YES,"North Burnet"
43,"Great Hills","Northwest Hills — Inner South","",30.3717,-97.7743,YES,"Northwest Hills"
44,"Harris Branch","Harris Branch","",30.3830,-97.6578,,""
45,"Lakeway","Lakeway","",30.3897,-97.8079,,""
46,"Cat Mountain","Cat Mountain","",30.3984,-97.7624,,""
47,"Montopolis","Pilot Knob — South","",30.1586,-97.6511,YES,"Pilot Knob"
48,"East Cesar Chavez","Bouldin Creek — Southwest","BOULDIN CREEK",30.2572,-97.7511,YES,"Bouldin Creek"
49,"Oak Hill","Oak Hill — Inner West","",30.1928,-97.8563,YES,""
51,"Harris Ridge","Harris Ridge — Northwest","",30.4553,-97.6715,YES,""
52,"Dessau Valley","Dessau — Northwest","",30.4325,-97.6776,YES,"Dessau"
53,"Shady Hollow","Shady Hollow — West","",30.1697,-97.8381,YES,""
54,"Wells Branch","Wells Branch — Southeast #54","",30.4135,-97.6385,YES,""
55,"Cherry Creek","Cherry Creek — West","",30.1516,-97.8368,YES,""
56,"Shady Hollow","Shady Hollow — Southeast","",30.1404,-97.7777,YES,""
57,"North Shoal Creek","St. John — South (Moderate)","ST. JOHN",30.3327,-97.6953,YES,"St. John"
58,"Wells Branch","Wells Branch — North","",30.4552,-97.6661,YES,"Wells Branch"
59,"Wells Branch","Wells Branch — Southeast","",30.4392,-97.6580,YES,"Wells Branch"
60,"Southwood","Southwood — East","",30.1640,-97.7501,YES,""
61,"Pflugerville","Pflugerville","",30.4178,-97.6880,,""
63,"Barton Creek West","Barton Creek West","",30.2055,-97.8493,,""
64,"Southwood","Southwood — Southeast","",30.1475,-97.7495,YES,""
66,"Montopolis","Montopolis — West","",30.1787,-97.7553,YES,""
68,"St. John's Neighborhood","ShadowGlen","",30.3032,-97.5778,YES,"ShadowGlen"
70,"Jollyville","Jollyville","",30.4587,-97.8218,,""
71,"Northwood","Northwood — Northeast","",30.4443,-97.7377,YES,""
72,"Montopolis","Montopolis — East","",30.1897,-97.6313,YES,""
73,"Windsor Hills","Windsor Hills — South","",30.2996,-97.6336,YES,""
74,"Cherrywood","Windsor Park — Outer South","WINDSOR PARK",30.2965,-97.6931,YES,"Windsor Park"
75,"Great Hills","Great Hills — West","",30.4120,-97.8312,YES,""
76,"Montopolis","Montopolis — Northwest","MONTOPOLIS",30.2330,-97.6943,YES,""
